捞抚,惫,康,荐,苞,乞闭,切痢
切积1993,83.0,91.0,32.0,99.0,76.25,C
切积1994,5.0,55.0,11.0,65.0,34.0,F
切积1995,7.0,40.0,10.0,3.0,15.0,F
切积1996,55.0,46.0,74.0,35.0,52.5,F
切积1997,97.0,70.0,20.0,27.0,53.5,F
切积1998,92.0,61.0,42.0,88.0,70.75,C
切积1999,16.0,10.0,41.0,55.0,30.5,F
切积2000,47.0,33.0,64.0,65.0,52.25,F
切积2001,14.0,40.0,90.0,41.0,46.25,F
切积2002,3.0,74.0,48.0,49.0,43.5,F
切积2003,52.0,64.0,68.0,85.0,67.25,F
切积2004,26.0,87.0,93.0,36.0,60.5,F
切积2005,30.0,51.0,30.0,62.0,43.25,F
切积2006,72.0,44.0,80.0,13.0,52.25,F
切积2007,35.0,49.0,30.0,41.0,38.75,F
切积2008,52.0,60.0,1.0,14.0,31.75,F
切积2009,12.0,65.0,86.0,76.0,59.75,F
切积2010,79.0,21.0,11.0,41.0,38.0,F
切积2011,13.0,33.0,72.0,92.0,52.5,F
切积2012,57.0,68.0,33.0,33.0,47.75,F
切积2013,48.0,44.0,37.0,83.0,53.0,F
切积2014,66.0,88.0,81.0,66.0,75.25,C
切积2015,44.0,15.0,44.0,46.0,37.25,F
切积2016,99.0,2.0,96.0,90.0,71.75,C
切积2017,57.0,4.0,12.0,85.0,39.5,F
切积2018,4.0,77.0,57.0,83.0,55.25,F
切积2019,74.0,23.0,52.0,64.0,53.25,F
切积2020,84.0,58.0,70.0,25.0,59.25,F
切积2021,96.0,95.0,10.0,4.0,51.25,F
切积2022,83.0,7.0,64.0,9.0,40.75,F
切积2023,67.0,38.0,63.0,26.0,48.5,F
切积2024,50.0,72.0,14.0,86.0,55.5,F
切积2025,60.0,28.0,49.0,59.0,49.0,F
切积2026,71.0,11.0,49.0,62.0,48.25,F
切积2027,32.0,63.0,31.0,96.0,55.5,F
切积2028,72.0,6.0,73.0,22.0,43.25,F
切积2029,29.0,93.0,2.0,85.0,52.25,F
切积2030,60.26651228352799,56.0,64.0,24.0,51.066628070882,F
切积2031,98.0,57.06990788126919,88.0,64.0,76.76747697031729,C
切积2032,88.0,90.0,62.0,72.0,78.0,C
切积2033,92.0,70.0,55.0,60.420972335231895,69.35524308380798,F
切积2034,63.0,60.0,55.0,70.0,62.0,F
切积2035,21.0,50.0,55.0,88.0,53.5,F
切积2036,98.0,57.06990788126919,88.0,64.0,76.76747697031729,C
切积2037,88.0,90.0,62.0,72.0,78.0,C
切积2038,92.0,70.0,75.0,85.0,80.5,B
切积2039,63.0,60.0,31.0,70.0,56.0,F
切积2040,54.0,50.0,23.0,88.0,53.75,F
切积2041,64.0,54.0,73.0,83.0,68.5,F
切积2042,89.0,36.0,63.0,14.0,50.5,F
切积2043,83.0,26.0,81.0,98.0,72.0,C
切积2044,18.0,51.0,17.0,6.0,23.0,F
切积2045,63.0,60.0,55.0,70.0,62.0,F
切积2046,21.0,50.0,55.0,88.0,53.5,F
切积2047,98.0,57.06990788126919,88.0,64.0,76.76747697031729,C
切积2048,88.0,90.0,62.0,72.0,78.0,C
切积2049,92.0,70.0,75.0,85.0,80.5,B
切积2050,63.0,60.0,31.0,70.0,56.0,F
切积2051,54.0,50.0,23.0,88.0,53.75,F
切积2052,64.0,54.0,73.0,83.0,68.5,F
切积2053,89.0,36.0,63.0,14.0,50.5,F
切积2054,83.0,26.0,81.0,98.0,72.0,C
切积2055,18.0,51.0,17.0,6.0,23.0,F
切积2056,33.0,95.0,77.0,95.0,75.0,C
切积2057,86.0,34.0,31.0,18.0,42.25,F
切积2058,61.0,31.0,97.0,69.0,64.5,F
切积2059,79.0,87.0,93.0,86.0,86.25,B
切积2060,68.0,75.0,10.0,58.0,52.75,F
切积2061,36.0,59.0,90.0,54.0,59.75,F
切积2062,55.0,25.0,13.0,30.0,30.75,F
切积2063,63.0,60.0,55.0,70.0,62.0,F
切积2064,21.0,50.0,55.0,88.0,53.5,F
切积2065,98.0,57.06990788126919,88.0,64.0,76.76747697031729,C
切积2066,88.0,90.0,62.0,72.0,78.0,C
切积2067,92.0,70.0,75.0,85.0,80.5,B
切积2068,63.0,60.0,31.0,70.0,56.0,F
切积2069,54.0,50.0,23.0,88.0,53.75,F
切积2070,64.0,54.0,73.0,83.0,68.5,F
切积2071,89.0,36.0,63.0,14.0,50.5,F
切积2072,83.0,26.0,81.0,98.0,72.0,C
切积2073,18.0,51.0,17.0,6.0,23.0,F
切积2074,73.0,89.0,73.0,78.0,78.25,C
切积2075,45.0,11.0,99.0,81.0,59.0,F
切积2076,88.0,10.0,87.0,7.0,48.0,F
切积2077,10.0,67.0,56.0,93.0,56.5,F
切积2078,97.0,82.0,93.0,67.0,84.75,B
切积2079,4.0,86.0,62.0,94.0,61.5,F
切积2080,72.0,47.0,72.0,89.0,70.0,C
切积2081,13.0,56.0,64.0,34.0,41.75,F
切积2082,46.0,56.0,39.0,24.0,41.25,F
切积2083,70.0,41.0,86.0,93.0,72.5,C
切积2084,20.0,88.0,73.0,46.0,56.75,F
切积2085,63.0,60.0,55.0,70.0,62.0,F
切积2086,21.0,50.0,55.0,88.0,53.5,F
切积2087,98.0,90.0,88.0,64.0,85.0,B
切积2088,88.0,90.0,62.0,72.0,78.0,C
切积2089,92.0,70.0,75.0,85.0,80.5,B
切积2090,63.0,60.0,31.0,70.0,56.0,F
切积2091,54.0,50.0,23.0,88.0,53.75,F
切积2092,64.0,54.0,73.0,83.0,68.5,F
切积2093,89.0,36.0,63.0,14.0,50.5,F
切积2094,83.0,26.0,81.0,98.0,72.0,C
切积2095,18.0,51.0,17.0,6.0,23.0,F
切积2096,74.0,85.0,95.0,70.0,81.0,B
切积2097,46.0,56.0,39.0,24.0,41.25,F
切积2098,70.0,41.0,86.0,93.0,72.5,C
切积2099,20.0,88.0,73.0,46.0,56.75,F
切积2100,63.0,60.0,55.0,70.0,62.0,F
切积2101,21.0,50.0,55.0,88.0,53.5,F
切积2102,98.0,90.0,88.0,64.0,85.0,B
切积2103,88.0,90.0,62.0,72.0,78.0,C
切积2104,92.0,70.0,75.0,85.0,80.5,B
切积2105,63.0,60.0,31.0,70.0,56.0,F
切积2106,54.0,50.0,23.0,88.0,53.75,F
切积2107,64.0,54.0,73.0,83.0,68.5,F
切积2108,89.0,36.0,63.0,14.0,50.5,F
切积2109,83.0,26.0,81.0,98.0,72.0,C
切积2110,18.0,51.0,17.0,6.0,23.0,F
切积2111,42.0,92.0,61.0,10.0,51.25,F
切积2112,46.0,56.0,39.0,24.0,41.25,F
切积2113,70.0,41.0,86.0,93.0,72.5,C
切积2114,20.0,88.0,73.0,46.0,56.75,F
切积2115,63.0,60.0,55.0,70.0,62.0,F
切积2116,21.0,50.0,55.0,88.0,53.5,F
切积2117,98.0,90.0,88.0,64.0,85.0,B
切积2118,88.0,90.0,62.0,72.0,78.0,C
切积2119,92.0,70.0,75.0,85.0,80.5,B
切积2120,63.0,60.0,31.0,70.0,56.0,F
切积2121,54.0,50.0,23.0,88.0,53.75,F
切积2122,64.0,54.0,73.0,83.0,68.5,F
切积2123,89.0,36.0,63.0,14.0,50.5,F
切积2124,83.0,26.0,81.0,98.0,72.0,C
切积2125,18.0,51.0,17.0,6.0,23.0,F
切积2126,62.0,69.0,84.0,80.0,73.75,C
切积2127,54.0,34.0,56.0,46.0,47.5,F
切积2128,40.0,67.0,26.0,96.0,57.25,F
切积2129,55.0,85.0,46.0,81.0,66.75,F
切积2130,35.0,53.0,86.0,12.0,46.5,F
切积2131,42.0,59.0,79.0,10.0,47.5,F
切积2132,20.0,83.0,28.0,69.0,50.0,F
切积2133,14.0,53.0,19.0,32.0,29.5,F
切积2134,77.0,75.0,75.0,98.0,81.25,B
切积2135,45.0,30.0,62.0,89.0,56.5,F
切积2136,69.0,47.0,71.0,90.0,69.25,F
切积2137,51.0,57.0,16.0,0.0,31.0,F
切积2138,28.0,69.0,8.0,6.0,27.75,F
切积2139,55.0,46.0,97.0,73.0,67.75,F
切积2140,52.0,79.0,44.0,16.0,47.75,F
切积2141,33.0,62.0,83.0,0.0,44.5,F
切积2142,79.0,12.0,53.0,43.0,46.75,F
切积2143,55.0,56.0,92.0,40.0,60.75,F
切积2144,46.0,56.0,39.0,24.0,41.25,F
切积2145,70.0,41.0,86.0,93.0,72.5,C
切积2146,20.0,88.0,73.0,46.0,56.75,F
切积2147,63.0,60.0,55.0,70.0,62.0,F
切积2148,21.0,50.0,55.0,88.0,53.5,F
切积2149,98.0,90.0,88.0,64.0,85.0,B
切积2150,88.0,90.0,62.0,72.0,78.0,C
切积2151,92.0,70.0,75.0,85.0,80.5,B
切积2152,63.0,60.0,31.0,70.0,56.0,F
切积2153,54.0,50.0,23.0,88.0,53.75,F
切积2154,64.0,54.0,73.0,83.0,68.5,F
切积2155,89.0,36.0,63.0,14.0,50.5,F
切积2156,83.0,26.0,81.0,98.0,72.0,C
切积2157,18.0,51.0,17.0,6.0,23.0,F
切积2158,46.0,56.0,39.0,24.0,41.25,F
切积2159,70.0,41.0,86.0,93.0,72.5,C
切积2160,20.0,88.0,73.0,46.0,56.75,F
切积2161,63.0,60.0,55.0,70.0,62.0,F
切积2162,21.0,50.0,55.0,88.0,53.5,F
切积2163,98.0,90.0,88.0,64.0,85.0,B
切积2164,88.0,90.0,62.0,72.0,78.0,C
切积2165,92.0,70.0,75.0,85.0,80.5,B
切积2166,63.0,60.0,31.0,70.0,56.0,F
切积2167,54.0,50.0,23.0,88.0,53.75,F
切积2168,64.0,54.0,73.0,83.0,68.5,F
切积2169,89.0,36.0,63.0,14.0,50.5,F
切积2170,83.0,26.0,81.0,98.0,72.0,C
切积2171,18.0,51.0,17.0,6.0,23.0,F
切积2172,37.0,27.0,97.0,62.0,55.75,F
切积2173,70.0,20.0,63.0,0.0,38.25,F
切积2174,85.0,98.0,24.0,53.0,65.0,F
切积2175,94.0,77.0,76.0,99.0,86.5,B
切积2176,96.0,39.0,77.0,12.0,56.0,F
切积2177,46.0,56.0,39.0,24.0,41.25,F
切积2178,70.0,41.0,86.0,93.0,72.5,C
切积2179,20.0,88.0,73.0,46.0,56.75,F
切积2180,63.0,60.0,55.0,70.0,62.0,F
切积2181,21.0,50.0,55.0,88.0,53.5,F
切积2182,98.0,90.0,88.0,64.0,85.0,B
切积2183,88.0,90.0,62.0,72.0,78.0,C
切积2184,46.0,56.0,39.0,24.0,41.25,F
切积2185,70.0,41.0,86.0,93.0,72.5,C
切积2186,20.0,88.0,73.0,46.0,56.75,F
切积2187,63.0,60.0,55.0,70.0,62.0,F
切积2188,21.0,50.0,55.0,88.0,53.5,F
切积2189,98.0,90.0,88.0,64.0,85.0,B
切积2190,88.0,90.0,62.0,72.0,78.0,C
切积2191,92.0,70.0,75.0,85.0,80.5,B
切积2192,63.0,60.0,31.0,70.0,56.0,F
切积2193,54.0,50.0,23.0,88.0,53.75,F
切积2194,64.0,54.0,73.0,83.0,68.5,F
切积2195,89.0,36.0,63.0,14.0,50.5,F
切积2196,83.0,26.0,81.0,98.0,72.0,C
切积2197,18.0,51.0,17.0,6.0,23.0,F
切积2198,46.0,56.0,39.0,24.0,41.25,F
切积2199,70.0,41.0,86.0,93.0,72.5,C
切积2200,20.0,88.0,73.0,46.0,56.75,F
切积2201,63.0,60.0,55.0,70.0,62.0,F
切积2202,21.0,50.0,55.0,88.0,53.5,F
切积2203,98.0,90.0,88.0,64.0,85.0,B
切积2204,88.0,90.0,62.0,72.0,78.0,C
切积2205,92.0,70.0,75.0,85.0,80.5,B
切积2206,63.0,60.0,31.0,70.0,56.0,F
切积2207,54.0,50.0,23.0,88.0,53.75,F
切积2208,46.0,56.0,39.0,24.0,41.25,F
切积2209,70.0,41.0,86.0,93.0,72.5,C
切积2210,20.0,88.0,73.0,46.0,56.75,F
切积2211,63.0,60.0,55.0,70.0,62.0,F
切积2212,21.0,50.0,55.0,88.0,53.5,F
切积2213,98.0,90.0,88.0,64.0,85.0,B
切积2214,88.0,90.0,62.0,72.0,78.0,C
切积2215,46.0,56.0,39.0,24.0,41.25,F
切积2216,70.0,41.0,86.0,93.0,72.5,C
切积2217,20.0,88.0,73.0,46.0,56.75,F
切积2218,63.0,60.0,55.0,70.0,62.0,F
切积2219,21.0,50.0,55.0,88.0,53.5,F
切积2220,98.0,90.0,88.0,64.0,85.0,B
切积2221,88.0,90.0,62.0,72.0,78.0,C
切积2222,92.0,70.0,75.0,85.0,80.5,B
切积2223,63.0,60.0,31.0,70.0,56.0,F
切积2224,54.0,50.0,23.0,88.0,53.75,F
切积2225,64.0,54.0,73.0,83.0,68.5,F
切积2226,46.0,56.0,39.0,24.0,41.25,F
切积2227,70.0,41.0,86.0,93.0,72.5,C
切积2228,20.0,88.0,73.0,46.0,56.75,F
切积2229,63.0,60.0,55.0,70.0,62.0,F
切积2230,21.0,50.0,55.0,88.0,53.5,F
切积2231,98.0,90.0,88.0,64.0,85.0,B
切积2232,88.0,90.0,62.0,72.0,78.0,C
切积2233,92.0,70.0,75.0,85.0,80.5,B
切积2234,63.0,60.0,31.0,70.0,56.0,F
切积2235,54.0,50.0,23.0,88.0,53.75,F
切积2236,46.0,56.0,39.0,24.0,41.25,F
切积2237,70.0,41.0,86.0,93.0,72.5,C
切积2238,20.0,88.0,73.0,46.0,56.75,F
切积2239,46.0,56.0,39.0,24.0,41.25,F
切积2240,70.0,41.0,86.0,93.0,72.5,C
切积2241,46.0,56.0,39.0,24.0,41.25,F
切积2242,70.0,41.0,86.0,93.0,72.5,C
切积2243,20.0,88.0,73.0,46.0,56.75,F
切积2244,63.0,60.0,55.0,70.0,62.0,F
切积2245,21.0,50.0,55.0,88.0,53.5,F
切积2246,98.0,90.0,88.0,64.0,85.0,B
切积2247,88.0,90.0,62.0,72.0,78.0,C
切积2248,92.0,70.0,75.0,85.0,80.5,B
切积2249,63.0,60.0,31.0,70.0,56.0,F
切积2250,54.0,50.0,23.0,88.0,53.75,F
切积2251,64.0,54.0,73.0,83.0,68.5,F
切积2252,89.0,36.0,63.0,14.0,50.5,F
切积2253,83.0,26.0,81.0,98.0,72.0,C
切积2254,18.0,51.0,17.0,6.0,23.0,F
切积2255,85.0,37.0,23.0,49.0,48.5,F
切积2256,90.0,93.0,65.0,30.0,69.5,F
切积2257,71.0,83.0,15.0,11.0,45.0,F
切积2258,94.0,6.0,28.0,69.0,49.25,F
切积2259,85.0,88.0,60.0,17.0,62.5,F
切积2260,32.0,59.0,16.0,31.0,34.5,F
切积2261,59.0,64.0,40.0,72.0,58.75,F
切积2262,85.0,73.0,51.0,6.0,53.75,F
切积2263,20.0,36.0,26.0,73.0,38.75,F
切积2264,46.0,56.0,39.0,24.0,41.25,F
切积2265,70.0,41.0,86.0,93.0,72.5,C
切积2266,20.0,88.0,73.0,46.0,56.75,F
切积2267,63.0,60.0,55.0,70.0,62.0,F
切积2268,21.0,50.0,55.0,88.0,53.5,F
切积2269,98.0,90.0,88.0,64.0,85.0,B
切积2270,88.0,90.0,62.0,72.0,78.0,C
切积2271,92.0,70.0,75.0,85.0,80.5,B
切积2272,63.0,60.0,31.0,70.0,56.0,F
切积2273,54.0,50.0,23.0,88.0,53.75,F
切积2274,64.0,54.0,73.0,83.0,68.5,F
切积2275,89.0,36.0,63.0,14.0,50.5,F
切积2276,83.0,26.0,81.0,98.0,72.0,C
切积2277,18.0,51.0,17.0,6.0,23.0,F
切积2278,23.0,61.0,24.0,30.0,34.5,F
切积2279,53.0,60.0,20.0,39.0,43.0,F
切积2280,46.0,56.0,39.0,24.0,41.25,F
切积2281,70.0,41.0,86.0,93.0,72.5,C
切积2282,20.0,88.0,73.0,46.0,56.75,F
切积2283,63.0,60.0,55.0,70.0,62.0,F
切积2284,21.0,50.0,55.0,88.0,53.5,F
切积2285,98.0,90.0,88.0,64.0,85.0,B
切积2286,88.0,90.0,62.0,72.0,78.0,C
切积2287,92.0,70.0,75.0,85.0,80.5,B
切积2288,63.0,60.0,31.0,70.0,56.0,F
切积2289,54.0,50.0,23.0,88.0,53.75,F
切积2290,64.0,54.0,73.0,83.0,68.5,F
切积2291,89.0,36.0,63.0,14.0,50.5,F
切积2292,83.0,26.0,81.0,98.0,72.0,C
切积2293,18.0,51.0,17.0,6.0,23.0,F
切积2294,54.0,50.0,23.0,88.0,53.75,F
切积2295,64.0,54.0,73.0,83.0,68.5,F
切积2296,89.0,36.0,63.0,14.0,50.5,F
切积2297,83.0,26.0,81.0,98.0,72.0,C
切积2298,18.0,51.0,17.0,6.0,23.0,F
切积2299,71.0,84.0,33.0,34.0,55.5,F
切积2300,64.0,3.0,39.0,18.0,31.0,F
切积2301,46.0,43.0,49.0,2.0,35.0,F
切积2302,36.0,72.0,84.0,28.0,55.0,F
切积2303,83.0,57.0,67.0,33.0,60.0,F
切积2304,33.0,19.0,69.0,65.0,46.5,F
切积2305,46.0,56.0,39.0,24.0,41.25,F
切积2306,70.0,41.0,86.0,93.0,72.5,C
切积2307,20.0,88.0,73.0,46.0,56.75,F
切积2308,63.0,60.0,55.0,70.0,62.0,F
切积2309,21.0,50.0,55.0,88.0,53.5,F
切积2310,98.0,90.0,88.0,64.0,85.0,B
切积2311,88.0,90.0,62.0,72.0,78.0,C
切积2312,92.0,70.0,75.0,85.0,80.5,B
切积2313,63.0,60.0,31.0,70.0,56.0,F
切积2314,54.0,50.0,23.0,88.0,53.75,F
切积2315,64.0,54.0,73.0,83.0,68.5,F
切积2316,89.0,36.0,63.0,14.0,50.5,F
切积2317,83.0,26.0,81.0,98.0,72.0,C
切积2318,18.0,51.0,17.0,6.0,23.0,F
切积2319,46.0,56.0,39.0,24.0,41.25,F
切积2320,70.0,41.0,86.0,93.0,72.5,C
切积2321,20.0,88.0,73.0,46.0,56.75,F
切积2322,63.0,60.0,55.0,70.0,62.0,F
切积2323,21.0,50.0,55.0,88.0,53.5,F
切积2324,98.0,90.0,88.0,64.0,85.0,B
切积2325,88.0,90.0,62.0,72.0,78.0,C
切积2326,46.0,56.0,39.0,24.0,41.25,F
切积2327,70.0,41.0,86.0,93.0,72.5,C
切积2328,20.0,88.0,73.0,46.0,56.75,F
切积2329,63.0,60.0,55.0,70.0,62.0,F
切积2330,21.0,50.0,55.0,88.0,53.5,F
切积2331,98.0,90.0,88.0,64.0,85.0,B
切积2332,88.0,90.0,62.0,72.0,78.0,C
切积2333,92.0,70.0,75.0,85.0,80.5,B
切积2334,63.0,60.0,31.0,70.0,56.0,F
切积2335,54.0,50.0,23.0,88.0,53.75,F
切积2336,64.0,54.0,73.0,83.0,68.5,F
切积2337,89.0,36.0,63.0,14.0,50.5,F
切积2338,83.0,26.0,81.0,98.0,72.0,C
切积2339,18.0,51.0,17.0,6.0,23.0,F
切积2340,46.0,56.0,39.0,24.0,41.25,F
切积2341,70.0,41.0,86.0,93.0,72.5,C
切积2342,20.0,88.0,73.0,46.0,56.75,F
切积2343,63.0,60.0,55.0,70.0,62.0,F
切积2344,21.0,50.0,55.0,88.0,53.5,F
切积2345,98.0,90.0,88.0,64.0,85.0,B
切积2346,88.0,90.0,62.0,72.0,78.0,C
切积2347,92.0,70.0,75.0,85.0,80.5,B
切积2348,63.0,60.0,31.0,70.0,56.0,F
切积2349,54.0,50.0,23.0,88.0,53.75,F
切积2350,64.0,54.0,73.0,83.0,68.5,F
切积2351,89.0,36.0,63.0,14.0,50.5,F
切积2352,83.0,26.0,81.0,98.0,72.0,C
切积2353,18.0,51.0,17.0,6.0,23.0,F
切积2354,69.0,66.0,39.0,59.0,58.25,F
切积2355,25.0,19.0,37.0,45.0,31.5,F
切积2356,21.0,82.0,20.0,20.0,35.75,F
切积2357,7.0,11.0,57.0,74.0,37.25,F
切积2358,23.0,32.0,52.0,99.0,51.5,F
切积2359,97.0,87.0,30.0,66.0,70.0,C
切积2360,53.0,32.0,23.0,28.0,34.0,F
切积2361,14.0,45.0,73.0,30.0,40.5,F
切积2362,12.0,52.0,44.0,37.0,36.25,F
切积2363,46.0,56.0,39.0,24.0,41.25,F
切积2364,70.0,41.0,86.0,93.0,72.5,C
切积2365,20.0,88.0,73.0,46.0,56.75,F
切积2366,63.0,60.0,55.0,70.0,62.0,F
切积2367,21.0,50.0,55.0,88.0,53.5,F
切积2368,98.0,90.0,88.0,64.0,85.0,B
切积2369,88.0,90.0,62.0,72.0,78.0,C
切积2370,92.0,70.0,75.0,85.0,80.5,B
切积2371,63.0,60.0,31.0,70.0,56.0,F
切积2372,54.0,50.0,23.0,88.0,53.75,F
切积2373,64.0,54.0,73.0,83.0,68.5,F
切积2374,89.0,36.0,63.0,14.0,50.5,F
切积2375,83.0,26.0,81.0,98.0,72.0,C
切积2376,18.0,51.0,17.0,6.0,23.0,F
切积2377,75.0,38.0,94.0,50.0,64.25,F
切积2378,58.0,74.0,56.0,27.0,53.75,F
切积2379,52.0,86.0,55.0,51.0,61.0,F
切积2380,62.0,24.0,72.0,24.0,45.5,F
切积2381,71.0,21.0,21.0,89.0,50.5,F
切积2382,95.0,67.0,17.0,86.0,66.25,F
切积2383,62.0,71.0,88.0,95.0,79.0,C
切积2384,46.0,56.0,39.0,24.0,41.25,F
切积2385,70.0,41.0,86.0,93.0,72.5,C
切积2386,20.0,88.0,73.0,46.0,56.75,F
切积2387,63.0,60.0,55.0,70.0,62.0,F
切积2388,21.0,50.0,55.0,88.0,53.5,F
切积2389,98.0,90.0,88.0,64.0,85.0,B
切积2390,46.0,56.0,39.0,24.0,41.25,F
切积2391,70.0,41.0,86.0,93.0,72.5,C
切积2392,20.0,88.0,73.0,46.0,56.75,F
切积2393,63.0,60.0,55.0,70.0,62.0,F
切积2394,21.0,50.0,55.0,88.0,53.5,F
切积2395,98.0,90.0,88.0,64.0,85.0,B
切积2396,88.0,90.0,62.0,72.0,78.0,C
切积2397,92.0,70.0,75.0,85.0,80.5,B
切积2398,63.0,60.0,31.0,70.0,56.0,F
切积2399,54.0,50.0,23.0,88.0,53.75,F
切积2400,64.0,54.0,73.0,83.0,68.5,F
切积2401,89.0,36.0,63.0,14.0,50.5,F
切积2402,83.0,26.0,81.0,98.0,72.0,C
切积2403,18.0,51.0,17.0,6.0,23.0,F
切积2404,98.0,57.06990788126919,88.0,64.0,76.76747697031729,C
切积2405,88.0,90.0,62.0,72.0,78.0,C
切积2406,92.0,70.0,56.16032972694487,60.420972335231895,69.64532551554419,F
切积2407,63.0,60.0,31.0,70.0,56.0,F
切积2408,100.0,50.0,56.16032972694487,88.0,73.54008243173621,C
切积2409,98.0,57.06990788126919,88.0,64.0,76.76747697031729,C
切积2410,88.0,90.0,62.0,72.0,78.0,C
切积2411,92.0,70.0,56.16032972694487,60.420972335231895,69.64532551554419,F
切积2412,63.0,60.0,31.0,70.0,56.0,F
切积2413,100.0,50.0,56.16032972694487,88.0,73.54008243173621,C
切积2414,56.0,49.0,90.0,44.0,59.75,F
切积2415,34.0,28.0,16.0,0.0,19.5,F
切积2416,37.0,13.0,9.0,41.0,25.0,F
切积2417,14.0,17.0,21.0,77.0,32.25,F
切积2418,37.0,20.0,3.0,77.0,34.25,F
切积2419,19.0,97.0,28.0,77.0,55.25,F
切积2420,57.0,85.0,33.0,84.0,64.75,F
切积2421,10.0,21.0,67.0,54.0,38.0,F
切积2422,79.0,74.0,14.0,59.0,56.5,F
切积2423,96.0,67.0,66.0,48.0,69.25,F
切积2424,46.0,25.0,54.0,56.0,45.25,F
切积2425,66.0,32.0,77.0,24.0,49.75,F
切积2426,46.0,25.0,2.0,12.0,21.25,F
切积2427,26.0,10.0,49.0,74.0,39.75,F
切积2428,97.0,68.0,65.0,33.0,65.75,F
切积2429,86.0,70.0,99.0,45.0,75.0,C
切积2430,31.0,62.0,37.0,82.0,53.0,F
切积2431,43.0,88.0,11.0,56.0,49.5,F
切积2432,6.0,98.0,96.0,74.0,68.5,F
切积2433,41.0,75.0,8.0,22.0,36.5,F
切积2434,29.0,45.0,94.0,70.0,59.5,F
切积2435,83.0,84.0,32.0,91.0,72.5,C
切积2436,91.0,1.0,53.0,32.0,44.25,F
切积2437,89.0,59.0,10.0,29.0,46.75,F
切积2438,84.0,58.0,70.0,25.0,59.25,F
切积2439,96.0,95.0,10.0,4.0,51.25,F
切积2440,83.0,7.0,64.0,9.0,40.75,F
切积2441,67.0,38.0,63.0,26.0,48.5,F
切积2442,50.0,72.0,14.0,86.0,55.5,F
切积2443,60.0,28.0,49.0,59.0,49.0,F
切积2444,71.0,11.0,49.0,62.0,48.25,F
切积2445,32.0,63.0,31.0,96.0,55.5,F
切积2446,72.0,6.0,73.0,22.0,43.25,F
切积2447,29.0,93.0,2.0,85.0,52.25,F
切积2448,60.26651228352799,56.0,64.0,24.0,51.066628070882,F
切积2449,98.0,57.06990788126919,88.0,64.0,76.76747697031729,C
切积2450,88.0,90.0,62.0,72.0,78.0,C
切积2451,92.0,70.0,56.16032972694487,60.420972335231895,69.64532551554419,F
切积2452,63.0,60.0,31.0,70.0,56.0,F
切积2453,21.0,50.0,56.16032972694487,88.0,53.79008243173622,F
切积2454,98.0,57.06990788126919,88.0,64.0,76.76747697031729,C
切积2455,88.0,90.0,62.0,72.0,78.0,C
切积2456,92.0,70.0,56.16032972694487,60.420972335231895,69.64532551554419,F
切积2457,63.0,60.0,31.0,70.0,56.0,F
切积2458,54.0,50.0,56.16032972694487,88.0,62.04008243173622,F
切积2459,64.0,3.0,73.0,83.0,55.75,F
切积2460,78.0,58.0,20.0,47.0,50.75,F
切积2461,13.0,82.0,57.0,1.0,38.25,F
切积2462,4.0,11.0,81.0,76.0,43.0,F
切积2463,3.0,25.0,26.0,67.0,30.25,F
切积2464,96.0,78.0,1.0,6.0,45.25,F
切积2465,78.0,31.0,70.0,91.0,67.5,F
切积2466,4.0,63.0,59.0,23.0,37.25,F
切积2467,29.0,67.0,49.0,28.0,43.25,F
切积2468,93.0,56.0,63.0,55.0,66.75,F
切积2469,57.0,65.0,12.0,47.0,45.25,F
切积2470,20.0,74.0,56.0,17.0,41.75,F
切积2471,6.0,61.0,0.0,20.0,21.75,F
切积2472,3.0,11.0,83.0,45.0,35.5,F
切积2473,4.0,82.0,88.0,69.0,60.75,F
切积2474,62.0,5.0,92.0,67.0,56.5,F
切积2475,4.0,12.0,73.0,73.0,40.5,F
切积2476,84.0,58.0,70.0,25.0,59.25,F
切积2477,96.0,95.0,10.0,4.0,51.25,F
切积2478,83.0,7.0,64.0,9.0,40.75,F
切积2479,67.0,38.0,63.0,26.0,48.5,F
切积2480,50.0,72.0,14.0,86.0,55.5,F
切积2481,60.0,28.0,49.0,59.0,49.0,F
切积2482,71.0,11.0,49.0,62.0,48.25,F
切积2483,32.0,63.0,31.0,96.0,55.5,F
切积2484,72.0,6.0,73.0,22.0,43.25,F
切积2485,29.0,93.0,2.0,85.0,52.25,F
切积2486,60.26651228352799,56.0,64.0,24.0,51.066628070882,F
切积2487,98.0,57.06990788126919,88.0,64.0,76.76747697031729,C
切积2488,88.0,90.0,62.0,72.0,78.0,C
切积2489,92.0,70.0,56.16032972694487,60.420972335231895,69.64532551554419,F
切积2490,63.0,60.0,31.0,70.0,56.0,F
切积2491,21.0,50.0,56.16032972694487,88.0,53.79008243173622,F
切积2492,98.0,57.06990788126919,88.0,64.0,76.76747697031729,C
切积2493,88.0,90.0,62.0,72.0,78.0,C
切积2494,92.0,70.0,56.16032972694487,60.420972335231895,69.64532551554419,F
切积2495,63.0,60.0,31.0,70.0,56.0,F
切积2496,54.0,50.0,56.16032972694487,88.0,62.04008243173622,F
切积2497,64.0,3.0,73.0,83.0,55.75,F
切积2498,83.0,91.0,32.0,99.0,76.25,C
切积2499,5.0,55.0,11.0,65.0,34.0,F
切积2500,7.0,40.0,10.0,3.0,15.0,F
切积2501,55.0,46.0,74.0,35.0,52.5,F
